市町村コード,ため池コード番号,名称,名称_カナ,都道府県,市区町村,住所,担当課,堤高(m),堤頂長(m),総貯水量(千m3),緯度,経度,ハザードマップ作成状況：作成の状況,ため池ＨＭ・浸水想定区域図　ＵＲＬ
372030,372030071,原池,ハライケ,香川県,坂出市,坂出市府中町5614,坂出市農林水産課,6.5,95,5,34.29900000,133.90900000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25039.pdf
372030,372030072,文在池,ブンザイイケ,香川県,坂出市,坂出市府中町5674,坂出市農林水産課,7,100,7,34.30000000,133.90800000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25040.pdf
372030,372030073,平場池,ヒラバイケ,香川県,坂出市,坂出市府中町5643,坂出市農林水産課,5.5,70,3,34.30100000,133.90900000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25041.pdf
372030,372030074,本坊前池,ホンボウマエイケ,香川県,坂出市,坂出市府中町5687,坂出市農林水産課,7.5,110,9,34.30100000,133.90700000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25042.pdf
372030,372030075,本坊新池,ホンボウシンイケ,香川県,坂出市,坂出市府中町5719,坂出市農林水産課,9.5,85,7,34.30000000,133.90600000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25043.pdf
372030,372030076,西福寺大池,サイフクジオオイケ,香川県,坂出市,坂出市府中町5819,坂出市農林水産課,6.7,120,24,34.30400000,133.90600000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25044.pdf
372030,372030077,奄池,アンイケ,香川県,坂出市,坂出市府中町5883,坂出市農林水産課,10,90,5,34.30500000,133.90300000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25045.pdf
372030,372030078,前池,マエイケ,香川県,坂出市,坂出市西庄町字醍醐1339,坂出市農林水産課,5.5,100,6,34.30800000,133.90100000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25046.pdf
372030,372030081,野上池,ノガミイケ,香川県,坂出市,坂出市府中町字南前谷345,坂出市農林水産課,6,148,15.7,34.29300000,133.93900000,○,https://www.city.sakaide.lg.jp/uploaded/attachment/10249.pdf
372030,372030084,鈴木上池,スズキカミイケ,香川県,坂出市,坂出市王越町木沢字山田1747,坂出市農林水産課,5.1,59,1.1,34.36500000,133.91600000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25047.pdf
372030,372030087,下池,シタイケ,香川県,坂出市,坂出市王越町乃生字東分912,坂出市農林水産課,5.5,63,13,34.36900000,133.90900000,○,https://www.city.sakaide.lg.jp/uploaded/attachment/11922.pdf
372030,372030088,二番池,ニバンイケ,香川県,坂出市,坂出市王越町乃生字東分897,坂出市農林水産課,6.5,108,17.9,34.36800000,133.91000000,○,https://www.city.sakaide.lg.jp/uploaded/attachment/11922.pdf
372030,372030089,新池,シンイケ,香川県,坂出市,坂出市王越町乃生字南条602,坂出市農林水産課,11,129,22,34.36700000,133.90600000,○,https://www.city.sakaide.lg.jp/uploaded/attachment/11922.pdf
372030,372030090,中池,ナカイケ,香川県,坂出市,坂出市王越町乃生字南条478,坂出市農林水産課,10.4,129,20.8,34.36900000,133.90500000,○,https://www.city.sakaide.lg.jp/uploaded/attachment/11922.pdf
372030,372030092,松ヶ浦池,マツガウライケ,香川県,坂出市,坂出市大屋冨町2303番地他68筆,坂出市農林水産課,12.2,170,90.7,34.35200000,133.90700000,○,https://www.city.sakaide.lg.jp/uploaded/attachment/10250.pdf
372030,372030093,小原若池,オバラワカイケ,香川県,坂出市,坂出市青海町1145,坂出市農林水産課,5.2,63,2.5,34.34600000,133.91900000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25092.pdf
372030,372030098,伝徳池,デントクイケ,香川県,坂出市,坂出市青海町31,坂出市農林水産課,14.1,173,50,34.34300000,133.93400000,○,https://www.city.sakaide.lg.jp/uploaded/attachment/14996.pdf
372030,372030107,摺鉢池,スリバチイケ,香川県,坂出市,坂出市加茂町字牛ﾉ子1593,坂出市農林水産課,5,180,6.3,34.31900000,133.91200000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25048.pdf
372030,372030108,鴻池,コウノイケ,香川県,坂出市,坂出市加茂町字御社窪1607,坂出市農林水産課,7.3,180,29.3,34.30500000,133.92200000,○,https://www.city.sakaide.lg.jp/uploaded/attachment/14995.pdf
372030,372030111,角池,カドイケ,香川県,坂出市,坂出市加茂町字杉尾171,坂出市農林水産課,6,180,25.2,34.30300000,133.92000000,○,https://www.city.sakaide.lg.jp/uploaded/attachment/14995.pdf
372030,372030114,綾坂池,アヤサカイケ,香川県,坂出市,坂出市府中町字深谷737,坂出市農林水産課,5.1,73,6.1,34.29600000,133.93100000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25049.pdf
372030,372030115,深谷中池,フカヤナカイケ,香川県,坂出市,坂出市府中町字深谷764,坂出市農林水産課,6.3,62,4.2,34.29800000,133.93300000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25050.pdf
372030,372030117,鷲山池,ワシヤマイケ,香川県,坂出市,坂出市府中町1709,坂出市農林水産課,8,85,20,34.27300000,133.93800000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25051.pdf
372030,372030127,笹谷下池,ササダニシモイケ,香川県,坂出市,坂出市府中町字山犬谷2870,坂出市農林水産課,12,40,14,34.27500000,133.91600000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25052.pdf
372030,372030128,シカハシ池,シカハシイケ,香川県,坂出市,坂出市府中町字四手2723,坂出市農林水産課,5.6,52,1.2,34.27200000,133.91300000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25053.pdf
